# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 13:59:27+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
16384 16 2522.67384271673 3046.79597789619 25.0089509487152 22.832916021347 21.5281846523285 0 3.54422068595886 96 335414.714127617 335414.714127617 7658496 7658496 164680.148452548 164680.148452548 3760128 3760128 785.459225699262 1058347.41155248 16811.2406916672 1041536.17086081 2816 3995101 58717 3936384 0 0 0 0 24.7409725189209 1741611590.59994 20714
16896 16.5 2495.53460738773 3024.76387290616 25.9785499572754 23.8025150299072 22.4273104667664 0 3.55722260475159 99 331806.281398272 331806.281398272 7897824 7897824 162908.499170271 162908.499170271 3877632 3877632 799.157592042096 1125338.63477261 16885.0904480691 1108453.54432454 2842 3996556 60172 3936384 0 0 0 0 25.7086672782898 1741611591.56954 21353
17408 17 2487.56977614902 3007.42781984931 26.7783598899841 24.602324962616 23.1860589981079 0 3.62438058853149 102 330747.277436773 330747.277436773 8137152 8137152 162388.554987008 162388.554987008 3995136 3995136 807.28204214691 1114335.94247426 17109.3685773908 1097226.57389687 2940 4011869 61661 3950208 0 0 0 0 26.4991724491119 1741611592.36934 21992
17920 17.5 2477.93936046318 2990.50227331003 27.6003859043121 25.424350976944 23.968923330307 0 3.63420057296753 105 329466.817367185 329466.817367185 8376480 8376480 161759.881451036 161759.881451036 4112640 4112640 815.649325757258 1105094.963315 17321.6710121907 1087773.29230281 2966 4013320 63112 3950208 0 0 0 0 27.3137412071228 1741611593.19137 22631
18432 18 2448.41966604816 2969.3173143631 28.6420860290527 26.4660511016846 24.9387669563293 0 3.75732851028442 108 325541.878797763 325541.878797763 8615808 8615808 159832.835799624 159832.835799624 4230144 4230144 827.905978337775 1114851.27771176 17388.1857694334 1097463.09194233 3148 4439891 64595 4375296 0 0 0 0 28.3474810123444 1741611594.23307 23270
18944 18.5 2449.03911470431 2955.43459692028 29.3703739643097 27.1943390369415 25.6063599586487 0 3.76732707023621 111 325624.240691084 325624.240691084 8855136 8855136 159873.273407897 159873.273407897 4347648 4347648 842.186026734326 1179892.52784942 17490.9019735271 1162401.6258759 3174 4441339 66043 4375296 0 0 0 0 29.0684690475464 1741611594.96136 23909
19456 19 2451.37004345154 2942.69107199044 30.0787990093231 27.902764081955 26.2778198719025 0 3.8259482383728 114 325934.160977317 325934.160977317 9094464 9094464 160025.436436517 160025.436436517 4465152 4465152 850.307219048099 1170174.53640071 17713.5936730475 1152460.94272767 3272 4456649 67529 4389120 0 0 0 0 29.7686529159546 1741611595.66978 24548
19968 19.5 2447.76745575179 2929.27481613948 30.8552298545837 28.6791949272156 27.0206468105316 0 3.83817291259766 117 325455.160916757 325455.160916757 9333792 9333792 159790.259511477 159790.259511477 4582656 4582656 859.024296033794 1162549.60416484 17934.9356135799 1144614.66855126 3298 4458102 68982 4389120 0 0 0 0 30.5369114875793 1741611596.44621 25187
20480 20 2446.66889742286 2917.09303249883 31.6038010120392 29.427766084671 27.6923854351044 0 3.96724724769592 120 325309.096601344 325309.096601344 9573120 9573120 159718.545623765 159718.545623765 4700160 4700160 868.739189984728 1169253.92100217 17965.3628252581 1151288.55817691 3480 4884678 70470 4814208 0 0 0 0 31.2761101722717 1741611597.19479 25826
20992 20.5 2421.82533348548 2900.46992448925 32.6489179134369 30.4728829860687 28.6731960773468 0 3.97887754440308 123 322005.89634023 322005.89634023 9812448 9812448 158096.757769932 158096.757769932 4817664 4817664 880.846332912473 1228939.85078318 18038.2337992056 1210901.61698398 3506 4886131 71923 4814208 0 0 0 0 32.3126838207245 1741611598.2399 26465
21504 21 2409.21013752378 2886.51228867514 33.5556139945984 31.3795790672302 29.5387949943542 0 4.04482245445251 126 320328.579885162 320328.579885162 10051776 10051776 157273.237777552 157273.237777552 4935168 4935168 887.269254547786 1218028.74356615 18225.6158406815 1199803.12772547 3604 4901439 73407 4828032 0 0 0 0 33.2084505558014 1741611599.1466 27104
22016 21.5 2390.07838578456 2871.37460120681 34.5599100589752 32.3838751316071 30.5058026313782 0 4.05824136734009 129 317784.822173914 317784.822173914 10291104 10291104 156024.317024016 156024.317024016 5052672 5052672 894.40155811293 1209312.55216044 18413.6709086289 1190898.88125182 3630 4902891 74859 4828032 0 0 0 0 34.2028534412384 1741611600.1509 27743
22528 22 2385.98198843623 2859.57716928155 35.3699150085449 33.1938800811768 31.2436680793762 0 4.17732501029968 132 317240.165182482 317240.165182482 10530432 10530432 155756.904205117 155756.904205117 5170176 5170176 903.969167146152 1216172.73181734 18454.785015821 1197717.94680152 3812 5329470 76350 5253120 0 0 0 0 35.0077712535858 1741611600.9609 28382
23040 22.5 2389.08834645255 2849.71689666685 36.0801808834076 33.9041459560394 31.8952531814575 0 4.18829226493835 135 317653.18654433 317653.18654433 10769760 10769760 155959.687256422 155959.687256422 5287680 5287680 916.144859136623 1273788.79150434 18541.2999999601 1255247.49150438 3838 5330919 77799 5253120 0 0 0 0 35.7088561058044 1741611601.67117 29021
23552 23 2386.25407316393 2839.12793903784 36.8747708797455 34.6987359523773 32.64803814888 0 4.25642681121826 138 317276.341567876 317276.341567876 11009088 11009088 155774.665896141 155774.665896141 5405184 5405184 921.752154222972 1262770.64102586 18711.8526379607 1244058.7883879 3936 5346235 79291 5266944 0 0 0 0 36.4946985244751 1741611602.46576 29660
24064 23.5 2374.4360451956 2827.09565027227 37.805547952652 35.6295130252838 33.5406100749969 0 4.26760697364807 141 315705.016569207 315705.016569207 11248416 11248416 155003.185030369 155003.185030369 5522688 5522688 928.032274687248 1253822.71756328 18882.3383388361 1234940.37922444 3962 5347685 80741 5266944 0 0 0 0 37.4158234596252 1741611603.39653 30299
24576 24 2575.64681070729 2843.00600799192 35.7210068702698 33.5449719429016 31.3884243965149 0 4.39142942428589 144 342457.999951641 342457.999951641 11487744 11487744 168138.223802972 168138.223802972 5640192 5640192 937.547069122407 1260915.87017509 18933.2806696482 1241982.58950545 4144 5774262 82230 5692032 0 0 0 0 35.3230977058411 1741611601.31199 30938
25088 24.5 2564.12440623578 2836.17493698561 36.5737419128418 34.3977069854736 32.1754369735718 0 4.40209817886353 147 340925.98105311 340925.98105311 11727072 11727072 167386.041239072 167386.041239072 5757696 5757696 947.183075644461 1313120.64073451 18978.4476412074 1294142.1930933 4170 5775714 83682 5692032 0 0 0 0 36.1671192646027 1741611602.16473 31577
25600 25 2564.68388404194 2830.80753279799 37.2680790424347 35.0920441150665 32.8245897293091 0 4.47226786613464 150 341000.369222217 341000.369222217 11966400 11966400 167422.563950258 167422.563950258 5875200 5875200 951.50448263956 1301270.82401662 19121.6843369053 1282149.13967971 4268 5791024 85168 5705856 0 0 0 0 36.850888967514 1741611602.85906 32216
26112 25.5 2558.53335027163 2824.78591797505 38.0559659004211 35.879930973053 33.5729758739471 0 4.48574995994568 153 340182.594252116 340182.594252116 12205728 12205728 167021.057105732 167021.057105732 5992704 5992704 956.950600975173 1292054.40248454 19275.3049838848 1272779.09750065 4294 5792475 86619 5705856 0 0 0 0 37.6331601142883 1741611603.64695 32855
26624 26 2551.32218413697 2818.81619279389 38.8628950119019 36.6868600845337 34.3129432201385 0 4.60606813430786 156 339223.797602852 339223.797602852 12445056 12445056 166550.312180462 166550.312180462 6110208 6110208 965.724517774975 1298434.19675233 19320.8640494038 1279113.33270292 4476 6219054 88110 6130944 0 0 0 0 38.4312443733215 1741611604.45388 33494
27136 26.5 2544.90924056227 2812.96823018437 39.6626369953156 37.4866020679474 35.04971575737 0 4.61599850654602 159 338371.132625159 338371.132625159 12684384 12684384 166131.675223905 166131.675223905 6227712 6227712 975.087101639581 1348452.24514831 19371.6726106076 1329080.5725377 4502 6220512 89568 6130944 0 0 0 0 39.2236561775208 1741611605.25362 34133
27648 27 2505.3043087091 2803.04899699452 40.9737169742584 38.7976820468903 36.318165063858 0 4.68207693099976 162 333105.260885962 333105.260885962 12923712 12923712 163546.26527253 163546.26527253 6345216 6345216 979.475707233136 1337540.02099924 19516.2682639245 1318023.75273532 4600 6235823 91055 6144768 0 0 0 0 40.5251281261444 1741611606.5647 34772
28160 27.5 2488.88386786499 2795.46762996402 41.9529008865356 39.7768659591675 37.2617609500885 0 4.69414663314819 165 330921.999071329 330921.999071329 13163040 13163040 162474.338894227 162474.338894227 6462720 6462720 985.26159155689 1329540.59876621 19673.8961639031 1309866.7026023 4626 6237266 92498 6144768 0 0 0 0 41.4976160526276 1741611607.54389 35411
28672 28 2479.22157857711 2788.71482682844 42.8339579105377 40.6579229831696 38.0511820316315 0 4.87006497383118 168 329637.301087612 329637.301087612 13402368 13402368 161843.584649513 161843.584649513 6580224 6580224 988.129094830336 1328224.897181 19609.1145340156 1308615.78264698 4808 6663838 93982 6569856 0 0 0 0 42.3699567317963 1741611608.42494 36050
29184 28.5 2467.50012841063 2781.62801280106 43.756579875946 41.5805449485779 38.8759748935699 0 4.88582301139832 171 328078.817073478 328078.817073478 13641696 13641696 161078.408382646 161078.408382646 6697728 6697728 989.631411974779 1365625.78288299 19510.6959780303 1346115.08690496 4834 6665286 95430 6569856 0 0 0 0 43.2839148044586 1741611609.34756 36689
29696 29 2464.16486901068 2775.77474293109 44.5433299541473 42.3672950267792 39.6162242889404 0 4.96742463111877 174 327635.36098366 327635.36098366 13881024 13881024 160860.682649017 160860.682649017 6815232 6815232 992.874992421045 1354093.34675185 19630.3888270556 1334462.95792479 4932 6680599 96919 6583680 0 0 0 0 44.0624780654907 1741611610.13432 37328
30208 29.5 2461.34820277244 2770.12915213331 45.3231198787689 43.1470849514008 40.3433775901794 0 4.98243021965027 177 327260.857040623 327260.857040623 14120352 14120352 160676.810676985 160676.810676985 6932736 6932736 994.830598232269 1341805.78286364 19713.2691434532 1322092.51372019 4958 6682053 98373 6583680 0 0 0 0 44.835373878479 1741611610.9141 37967
30720 30 2435.20077698516 2761.33325755725 46.5255608558655 44.3495259284973 41.4732220172882 0 5.11543393135071 180 323784.295307946 323784.295307946 14359680 14359680 158969.906721591 158969.906721591 7050240 7050240 1001.12050311818 1345394.72057938 19725.9137172329 1325668.80686214 5140 7108628 99860 7008768 0 0 0 0 46.0282330513 1741611612.11655 38606
31232 30.5 2403.96283640803 2751.30973520416 47.8506178855896 45.6745829582214 42.7241792678833 0 5.12940049171448 183 319630.898728812 319630.898728812 14599008 14599008 156930.693960716 156930.693960716 7167744 7167744 1006.93685908398 1386903.17590912 19722.4637881722 1367180.71212094 5166 7110079 101311 7008768 0 0 0 0 47.3441114425659 1741611613.4416 39245
31744 31 2390.3010356866 2743.51760186157 48.8647148609161 46.688679933548 43.6868019104004 0 5.20984697341919 186 317814.425704891 317814.425704891 14838336 14838336 156038.851609621 156038.851609621 7285248 7285248 1008.90069993928 1374406.26522915 19815.7058607523 1354590.5593684 5264 7125394 102802 7022592 0 0 0 0 48.3492045402527 1741611614.4557 39884
32256 31.5 2393.40827703771 2738.39599139633 49.5561668872833 47.3801319599152 44.3390340805054 0 5.22238802909851 189 318227.564514934 318227.564514934 15077664 15077664 156241.692325022 156241.692325022 7402752 7402752 1013.20019937629 1366007.01265286 19943.5214424336 1346063.49121043 5290 7126844 104252 7022592 0 0 0 0 49.0340924263 1741611615.14715 40523
32768 32 2392.93356527473 2732.95822521083 50.3177809715271 48.1417460441589 45.0218045711517 0 5.36931180953979 192 318164.446838928 318164.446838928 15316992 15316992 156210.703141135 156210.703141135 7520256 7520256 1017.75377994848 1367487.40033787 19928.525359841 1347558.87497803 5472 7553419 105739 7447680 0 0 0 0 49.7798385620117 1741611615.90877 41162
33280 32.5 2389.96391352647 2727.23990281661 51.1307489871979 48.9547140598297 45.7525961399078 0 5.38083791732788 195 317769.60194248 317769.60194248 15556320 15556320 156016.844275008 156016.844275008 7637760 7637760 1021.54032360169 1404695.2949295 19892.7035057972 1384802.5914237 5498 7554867 107187 7447680 0 0 0 0 50.5902798175812 1741611616.72173 41801
33792 33 2392.93547218311 2722.58191034544 51.8221709728241 49.6461360454559 46.3986713886261 0 5.46182370185852 198 318164.700381466 318164.700381466 15795648 15795648 156210.827624113 156210.827624113 7755264 7755264 1024.43079671068 1394180.98639315 20001.1078300914 1374179.87856306 5596 7570174 108670 7461504 0 0 0 0 51.2728400230408 1741611617.41316 42440
